Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
11/3/2019 0:00,59TH STREET_GT_1,24138,18.97,1.03,-6.85
11/3/2019 0:00,74TH STREET_GT_1,24260,18.99,1.04,-6.85
11/3/2019 0:00,74TH STREET_GT_2,24261,18.99,1.04,-6.85
11/3/2019 0:00,ADK HUDSON___FALLS,24011,21.48,0.95,-9.43
11/3/2019 0:00,ADK RESOURCE___RCVRY,23798,21.52,0.99,-9.44
11/3/2019 0:00,ADK S GLENS___FALLS,24028,21.48,0.95,-9.43
11/3/2019 0:00,ADK_NYS___DAM,23527,20.93,0.88,-8.96
11/3/2019 0:00,AIR_PRODUCTS___DRP,24190,20.55,0.68,-8.78
11/3/2019 0:00,ALBANY___1,23571,20.55,0.68,-8.78
11/3/2019 0:00,ALBANY___2,23572,20.55,0.68,-8.78
11/3/2019 0:00,ALBANY___3,23573,20.55,0.68,-8.78
11/3/2019 0:00,ALBANY___4,23574,20.55,0.68,-8.78
11/3/2019 0:00,ALBANY___LFGE,323615,20.78,0.76,-8.93
11/3/2019 0:00,ALCOA_RYNLDS___DRP,24188,10.32,-0.78,0
11/3/2019 0:00,ALCOA___DSASP,323711,10.32,-0.78,0
11/3/2019 0:00,ALLEGHENY___COGEN,23514,12.87,0.58,-1.2
11/3/2019 0:00,ALTONA_WT_PWR,323606,10.29,-0.8,0
11/3/2019 0:00,AMERICAN_REF_FUEL,24010,11.83,-0.34,-1.08
11/3/2019 0:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,12.66,0.35,-1.21
11/3/2019 0:00,ARTHUR KILL_GT_1,23520,18.93,1,-6.84
11/3/2019 0:00,ARTHUR_KILL_2,23512,18.91,0.98,-6.84
11/3/2019 0:00,ARTHUR_KILL_3,23513,18.97,1.03,-6.85
11/3/2019 0:00,ARTHUR_KILL_COGEN,323718,18.93,1,-6.84
11/3/2019 0:00,ASHOKAN____,23654,19.38,1.01,-7.28
11/3/2019 0:00,ASTORIA_EAST_ENERGY_CC1,323581,19.02,1.08,-6.85
11/3/2019 0:00,ASTORIA_EAST_ENERGY_CC2,323582,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT2_1,24094,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT2_2,24095,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT2_3,24096,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT2_4,24097,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT3_1,24098,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT3_2,24099,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT3_3,24100,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT3_4,24101,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT4_1,24102,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT4_2,24103,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT4_3,24104,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT4_4,24105,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA_GT_1,23523,19.04,1.1,-6.85
11/3/2019 0:00,ASTORIA_GT_10,24110,19.02,1.08,-6.85
11/3/2019 0:00,ASTORIA_GT_11,24225,19.02,1.08,-6.85
11/3/2019 0:00,ASTORIA_GT_12,24226,19.02,1.08,-6.85
11/3/2019 0:00,ASTORIA_GT_13,24227,19.02,1.08,-6.85
11/3/2019 0:00,ASTORIA_GT_5,24106,19.04,1.1,-6.85
11/3/2019 0:00,ASTORIA_GT_7,24107,19.04,1.1,-6.85
11/3/2019 0:00,ASTORIA_GT_8,24108,19.04,1.1,-6.85
11/3/2019 0:00,ASTORIA___2,24149,19.03,1.09,-6.85
11/3/2019 0:00,ASTORIA___3,23516,19.02,1.08,-6.85
11/3/2019 0:00,ASTORIA___4,23517,19.03,1.09,-6.85
