"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20190131_20190214.csv"
"C","Report for: 01/31/2019 - 02/14/2019"
"C","Report generated: 11/27/2020 19:05:46 EST"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","01/31/2019","01",15130.0
"D","01/31/2019","02",15046.0
"D","01/31/2019","03",14792.0
"D","01/31/2019","04",14839.0
"D","01/31/2019","05",14970.0
"D","01/31/2019","06",16152.0
"D","01/31/2019","07",17852.0
"D","01/31/2019","08",18954.0
"D","01/31/2019","09",19058.0
"D","01/31/2019","10",18705.0
"D","01/31/2019","11",18040.0
"D","01/31/2019","12",17659.0
"D","01/31/2019","13",17422.0
"D","01/31/2019","14",17363.0
"D","01/31/2019","15",17544.0
"D","01/31/2019","16",17846.0
"D","01/31/2019","17",18769.0
"D","01/31/2019","18",19965.0
"D","01/31/2019","19",19876.0
"D","01/31/2019","20",19250.0
"D","01/31/2019","21",18504.0
"D","01/31/2019","22",17332.0
"D","01/31/2019","23",15951.0
"D","01/31/2019","24",14668.0
"D","02/01/2019","01",14175.0
"D","02/01/2019","02",14022.0
"D","02/01/2019","03",13913.0
"D","02/01/2019","04",13900.0
"D","02/01/2019","05",13986.0
"D","02/01/2019","06",14905.0
"D","02/01/2019","07",16834.0
"D","02/01/2019","08",17864.0
"D","02/01/2019","09",17556.0
"D","02/01/2019","10",17135.0
"D","02/01/2019","11",17066.0
"D","02/01/2019","12",16858.0
"D","02/01/2019","13",16597.0
"D","02/01/2019","14",16424.0
"D","02/01/2019","15",16194.0
"D","02/01/2019","16",16367.0
"D","02/01/2019","17",17175.0
"D","02/01/2019","18",18316.0
"D","02/01/2019","19",17869.0
"D","02/01/2019","20",17557.0
"D","02/01/2019","21",16835.0
"D","02/01/2019","22",16040.0
"D","02/01/2019","23",15111.0
"D","02/01/2019","24",13962.0
"D","02/02/2019","01",13512.0
"D","02/02/2019","02",12878.0
"D","02/02/2019","03",12832.0
"D","02/02/2019","04",12877.0
"D","02/02/2019","05",12956.0
"D","02/02/2019","06",13407.0
"D","02/02/2019","07",14265.0
"D","02/02/2019","08",15222.0
"D","02/02/2019","09",15902.0
"D","02/02/2019","10",15940.0
"D","02/02/2019","11",15775.0
"D","02/02/2019","12",15589.0
"D","02/02/2019","13",15051.0
"D","02/02/2019","14",14654.0
"D","02/02/2019","15",14481.0
"D","02/02/2019","16",14869.0
"D","02/02/2019","17",15630.0
"D","02/02/2019","18",16174.0
"D","02/02/2019","19",16394.0
"D","02/02/2019","20",15742.0
"D","02/02/2019","21",15373.0
"D","02/02/2019","22",14596.0
"D","02/02/2019","23",13651.0
"D","02/02/2019","24",12802.0
"D","02/03/2019","01",12530.0
"D","02/03/2019","02",12300.0
"D","02/03/2019","03",12358.0
"D","02/03/2019","04",12341.0
"D","02/03/2019","05",12447.0
"D","02/03/2019","06",12794.0
"D","02/03/2019","07",12824.0
"D","02/03/2019","08",13314.0
"D","02/03/2019","09",13877.0
"D","02/03/2019","10",13847.0
"D","02/03/2019","11",13801.0
"D","02/03/2019","12",13702.0
"D","02/03/2019","13",13905.0
"D","02/03/2019","14",13767.0
"D","02/03/2019","15",13668.0
"D","02/03/2019","16",13935.0
"D","02/03/2019","17",14494.0
"D","02/03/2019","18",15500.0
"D","02/03/2019","19",15234.0
"D","02/03/2019","20",14736.0
"D","02/03/2019","21",14108.0
"D","02/03/2019","22",13325.0
"D","02/03/2019","23",12783.0
"D","02/03/2019","24",11898.0
"D","02/04/2019","01",11977.0
"D","02/04/2019","02",11925.0
"D","02/04/2019","03",11662.0
"D","02/04/2019","04",11526.0
"D","02/04/2019","05",12020.0
"D","02/04/2019","06",12635.0
"D","02/04/2019","07",14066.0
"D","02/04/2019","08",15059.0
"D","02/04/2019","09",14732.0
"D","02/04/2019","10",14504.0
"D","02/04/2019","11",14338.0
"D","02/04/2019","12",13890.0
"D","02/04/2019","13",13824.0
"D","02/04/2019","14",13776.0
"D","02/04/2019","15",13662.0
"D","02/04/2019","16",13893.0
"D","02/04/2019","17",14594.0
"D","02/04/2019","18",15543.0
"D","02/04/2019","19",15556.0
"D","02/04/2019","20",15392.0
"D","02/04/2019","21",14867.0
"D","02/04/2019","22",13949.0
"D","02/04/2019","23",12616.0
"D","02/04/2019","24",11278.0
"D","02/05/2019","01",11470.0
"D","02/05/2019","02",11613.0
"D","02/05/2019","03",11410.0
"D","02/05/2019","04",11360.0
"D","02/05/2019","05",11436.0
"D","02/05/2019","06",12104.0
"D","02/05/2019","07",13581.0
"D","02/05/2019","08",14479.0
"D","02/05/2019","09",14197.0
"D","02/05/2019","10",13946.0
"D","02/05/2019","11",13700.0
"D","02/05/2019","12",13494.0
"D","02/05/2019","13",13268.0
"D","02/05/2019","14",13252.0
"D","02/05/2019","15",13252.0
"D","02/05/2019","16",13481.0
"D","02/05/2019","17",14133.0
"D","02/05/2019","18",15400.0
"D","02/05/2019","19",15323.0
"D","02/05/2019","20",15006.0
"D","02/05/2019","21",14341.0
"D","02/05/2019","22",13312.0
"D","02/05/2019","23",12294.0
"D","02/05/2019","24",11506.0
"D","02/06/2019","01",11080.0
"D","02/06/2019","02",11012.0
"D","02/06/2019","03",10938.0
"D","02/06/2019","04",10957.0
"D","02/06/2019","05",11013.0
"D","02/06/2019","06",12035.0
"D","02/06/2019","07",14314.0
"D","02/06/2019","08",15054.0
"D","02/06/2019","09",14918.0
"D","02/06/2019","10",14508.0
"D","02/06/2019","11",14348.0
"D","02/06/2019","12",14096.0
"D","02/06/2019","13",13997.0
"D","02/06/2019","14",14054.0
"D","02/06/2019","15",14217.0
"D","02/06/2019","16",14500.0
"D","02/06/2019","17",15278.0
"D","02/06/2019","18",16402.0
"D","02/06/2019","19",16106.0
"D","02/06/2019","20",15859.0
"D","02/06/2019","21",15352.0
"D","02/06/2019","22",14134.0
"D","02/06/2019","23",12891.0
"D","02/06/2019","24",11756.0
"D","02/07/2019","01",11151.0
"D","02/07/2019","02",11079.0
"D","02/07/2019","03",10873.0
"D","02/07/2019","04",10828.0
"D","02/07/2019","05",10883.0
"D","02/07/2019","06",11853.0
"D","02/07/2019","07",13832.0
"D","02/07/2019","08",15007.0
"D","02/07/2019","09",15057.0
"D","02/07/2019","10",14952.0
"D","02/07/2019","11",14981.0
"D","02/07/2019","12",14922.0
"D","02/07/2019","13",14897.0
"D","02/07/2019","14",14837.0
"D","02/07/2019","15",14820.0
"D","02/07/2019","16",14934.0
"D","02/07/2019","17",15639.0
"D","02/07/2019","18",16502.0
"D","02/07/2019","19",16134.0
"D","02/07/2019","20",15333.0
"D","02/07/2019","21",14573.0
"D","02/07/2019","22",13458.0
"D","02/07/2019","23",12099.0
"D","02/07/2019","24",11181.0
"D","02/08/2019","01",10866.0
"D","02/08/2019","02",10782.0
"D","02/08/2019","03",10818.0
"D","02/08/2019","04",10801.0
"D","02/08/2019","05",10943.0
"D","02/08/2019","06",11370.0
"D","02/08/2019","07",13214.0
"D","02/08/2019","08",14086.0
"D","02/08/2019","09",13956.0
"D","02/08/2019","10",13902.0
"D","02/08/2019","11",13818.0
"D","02/08/2019","12",13430.0
"D","02/08/2019","13",13211.0
"D","02/08/2019","14",13097.0
"D","02/08/2019","15",13029.0
"D","02/08/2019","16",13085.0
"D","02/08/2019","17",13684.0
"D","02/08/2019","18",14955.0
"D","02/08/2019","19",14754.0
"D","02/08/2019","20",14376.0
"D","02/08/2019","21",13920.0
"D","02/08/2019","22",13147.0
"D","02/08/2019","23",12241.0
"D","02/08/2019","24",11319.0
"D","02/09/2019","01",11743.0
"D","02/09/2019","02",11715.0
"D","02/09/2019","03",11988.0
"D","02/09/2019","04",11847.0
"D","02/09/2019","05",11985.0
"D","02/09/2019","06",12273.0
"D","02/09/2019","07",12745.0
"D","02/09/2019","08",13429.0
"D","02/09/2019","09",13788.0
"D","02/09/2019","10",13587.0
"D","02/09/2019","11",13339.0
"D","02/09/2019","12",13058.0
"D","02/09/2019","13",12825.0
"D","02/09/2019","14",12682.0
"D","02/09/2019","15",12725.0
"D","02/09/2019","16",13173.0
"D","02/09/2019","17",13956.0
"D","02/09/2019","18",15521.0
"D","02/09/2019","19",15563.0
"D","02/09/2019","20",15161.0
"D","02/09/2019","21",14622.0
"D","02/09/2019","22",13852.0
"D","02/09/2019","23",13352.0
"D","02/09/2019","24",12345.0
"D","02/10/2019","01",11680.0
"D","02/10/2019","02",11440.0
"D","02/10/2019","03",11642.0
"D","02/10/2019","04",11676.0
"D","02/10/2019","05",11508.0
"D","02/10/2019","06",11927.0
"D","02/10/2019","07",12596.0
"D","02/10/2019","08",13292.0
"D","02/10/2019","09",13793.0
"D","02/10/2019","10",13663.0
"D","02/10/2019","11",13628.0
"D","02/10/2019","12",12961.0
"D","02/10/2019","13",12784.0
"D","02/10/2019","14",12746.0
"D","02/10/2019","15",12814.0
"D","02/10/2019","16",13124.0
"D","02/10/2019","17",13983.0
"D","02/10/2019","18",15479.0
"D","02/10/2019","19",15161.0
"D","02/10/2019","20",14744.0
"D","02/10/2019","21",14372.0
"D","02/10/2019","22",13467.0
"D","02/10/2019","23",12436.0
"D","02/10/2019","24",11637.0
"D","02/11/2019","01",11709.0
"D","02/11/2019","02",11810.0
"D","02/11/2019","03",11800.0
"D","02/11/2019","04",11833.0
"D","02/11/2019","05",11764.0
"D","02/11/2019","06",12411.0
"D","02/11/2019","07",14383.0
"D","02/11/2019","08",15675.0
"D","02/11/2019","09",15543.0
"D","02/11/2019","10",15209.0
"D","02/11/2019","11",15041.0
"D","02/11/2019","12",14636.0
"D","02/11/2019","13",14308.0
"D","02/11/2019","14",14156.0
"D","02/11/2019","15",14008.0
"D","02/11/2019","16",14252.0
"D","02/11/2019","17",14974.0
"D","02/11/2019","18",16533.0
"D","02/11/2019","19",16471.0
"D","02/11/2019","20",16078.0
"D","02/11/2019","21",15518.0
"D","02/11/2019","22",14634.0
"D","02/11/2019","23",13363.0
"D","02/11/2019","24",12405.0
"D","02/12/2019","01",12652.0
"D","02/12/2019","02",12383.0
"D","02/12/2019","03",12327.0
"D","02/12/2019","04",12352.0
"D","02/12/2019","05",12666.0
"D","02/12/2019","06",13503.0
"D","02/12/2019","07",15504.0
"D","02/12/2019","08",16963.0
"D","02/12/2019","09",16854.0
"D","02/12/2019","10",16687.0
"D","02/12/2019","11",16630.0
"D","02/12/2019","12",16591.0
"D","02/12/2019","13",16425.0
"D","02/12/2019","14",16408.0
"D","02/12/2019","15",16351.0
"D","02/12/2019","16",16362.0
"D","02/12/2019","17",17086.0
"D","02/12/2019","18",18176.0
"D","02/12/2019","19",17543.0
"D","02/12/2019","20",16792.0
"D","02/12/2019","21",16042.0
"D","02/12/2019","22",15033.0
"D","02/12/2019","23",13601.0
"D","02/12/2019","24",12504.0
"D","02/13/2019","01",11089.0
"D","02/13/2019","02",11048.0
"D","02/13/2019","03",10997.0
"D","02/13/2019","04",11202.0
"D","02/13/2019","05",11354.0
"D","02/13/2019","06",11675.0
"D","02/13/2019","07",13433.0
"D","02/13/2019","08",14339.0
"D","02/13/2019","09",14442.0
"D","02/13/2019","10",14256.0
"D","02/13/2019","11",14257.0
"D","02/13/2019","12",14089.0
"D","02/13/2019","13",13889.0
"D","02/13/2019","14",13837.0
"D","02/13/2019","15",13862.0
"D","02/13/2019","16",14037.0
"D","02/13/2019","17",14679.0
"D","02/13/2019","18",15912.0
"D","02/13/2019","19",15918.0
"D","02/13/2019","20",15401.0
"D","02/13/2019","21",14998.0
"D","02/13/2019","22",14060.0
"D","02/13/2019","23",12893.0
"D","02/13/2019","24",11970.0
"D","02/14/2019","01",11590.0
"D","02/14/2019","02",11531.0
"D","02/14/2019","03",11469.0
"D","02/14/2019","04",11567.0
"D","02/14/2019","05",11731.0
"D","02/14/2019","06",12562.0
"D","02/14/2019","07",14329.0
"D","02/14/2019","08",15420.0
"D","02/14/2019","09",15060.0
"D","02/14/2019","10",14406.0
"D","02/14/2019","11",14351.0
"D","02/14/2019","12",13871.0
"D","02/14/2019","13",13574.0
"D","02/14/2019","14",13420.0
"D","02/14/2019","15",13420.0
"D","02/14/2019","16",13807.0
"D","02/14/2019","17",14480.0
"D","02/14/2019","18",15807.0
"D","02/14/2019","19",15825.0
"D","02/14/2019","20",15135.0
"D","02/14/2019","21",14886.0
"D","02/14/2019","22",13821.0
"D","02/14/2019","23",12741.0
"D","02/14/2019","24",11835.0
"T","360 lines"
