"C","Day-Ahead Energy Market Hourly LMP Report"
"C","Filename: WW_DALMP_ISO_20191219.csv"
"C","Report for: 12/19/2019 - 12/19/2019"
"C","Report generated: 12/18/2019 12:36:29 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/19/2019","01","321","UN.FRNKLNSQ13.810CC","NETWORK NODE",98.15,97.41,0.16,0.58
"D","12/19/2019","01","322","UN.FRNKLNSQ13.811CC","NETWORK NODE",98.15,97.41,0.16,0.58
"D","12/19/2019","01","323","UN.FRNKLNSQ13.89CC","NETWORK NODE",98.15,97.41,0.16,0.58
"D","12/19/2019","01","324","UN.CDEC    13.8AETN","NETWORK NODE",99.77,97.41,0.16,2.2
"D","12/19/2019","01","326","UN.ALTRESCO13.8ALTR","NETWORK NODE",96.75,97.41,0.16,-0.82
"D","12/19/2019","01","327","UN.EDDY    34.5AMOS","NETWORK NODE",95.58,97.41,0.16,-1.99
"D","12/19/2019","01","328","UN.GULFISLD34.5GULF","NETWORK NODE",92.81,97.41,0.16,-4.76
"D","12/19/2019","01","329","UN.ASCUTNEY46  ASCU","NETWORK NODE",98.39,97.41,0.16,0.82
"D","12/19/2019","01","330","UN.PEMIGWAS34.5AYER","NETWORK NODE",95.26,97.41,0.16,-2.31
"D","12/19/2019","01","331","UN.ROXBURY 34.5AZIS","NETWORK NODE",90.35,97.41,0.16,-7.22
"D","12/19/2019","01","335","UN.BELLWSFL6.9 BELL","NETWORK NODE",97.3,97.41,0.16,-0.27
"D","12/19/2019","01","336","UN.BERLINVT34.5BERL","NETWORK NODE",96.53,97.41,0.16,-1.04
"D","12/19/2019","01","337","UN.WHITEFLD34.5BETH","NETWORK NODE",89.89,97.41,0.16,-7.68
"D","12/19/2019","01","340","UN.PEQUONCK22.0BHR3","NETWORK NODE",96.95,97.41,0.16,-0.62
