"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20190814_20190828.csv"
"C","Report for: 08/14/2019 - 08/28/2019"
"C","Report generated: 11/27/2020 19:10:27 EST"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","08/14/2019","01",13372.0
"D","08/14/2019","02",12931.0
"D","08/14/2019","03",12869.0
"D","08/14/2019","04",12786.0
"D","08/14/2019","05",12887.0
"D","08/14/2019","06",12936.0
"D","08/14/2019","07",13723.0
"D","08/14/2019","08",14847.0
"D","08/14/2019","09",15414.0
"D","08/14/2019","10",15410.0
"D","08/14/2019","11",15816.0
"D","08/14/2019","12",16226.0
"D","08/14/2019","13",16402.0
"D","08/14/2019","14",16569.0
"D","08/14/2019","15",16766.0
"D","08/14/2019","16",17115.0
"D","08/14/2019","17",17686.0
"D","08/14/2019","18",17747.0
"D","08/14/2019","19",17308.0
"D","08/14/2019","20",16830.0
"D","08/14/2019","21",16619.0
"D","08/14/2019","22",15470.0
"D","08/14/2019","23",13875.0
"D","08/14/2019","24",12530.0
"D","08/15/2019","01",12145.0
"D","08/15/2019","02",12100.0
"D","08/15/2019","03",11863.0
"D","08/15/2019","04",11687.0
"D","08/15/2019","05",11795.0
"D","08/15/2019","06",12302.0
"D","08/15/2019","07",12892.0
"D","08/15/2019","08",13695.0
"D","08/15/2019","09",14287.0
"D","08/15/2019","10",14480.0
"D","08/15/2019","11",15028.0
"D","08/15/2019","12",15453.0
"D","08/15/2019","13",15776.0
"D","08/15/2019","14",16047.0
"D","08/15/2019","15",16623.0
"D","08/15/2019","16",16795.0
"D","08/15/2019","17",17062.0
"D","08/15/2019","18",17423.0
"D","08/15/2019","19",17190.0
"D","08/15/2019","20",16831.0
"D","08/15/2019","21",16450.0
"D","08/15/2019","22",15284.0
"D","08/15/2019","23",13721.0
"D","08/15/2019","24",12232.0
"D","08/16/2019","01",12113.0
"D","08/16/2019","02",11898.0
"D","08/16/2019","03",11903.0
"D","08/16/2019","04",11810.0
"D","08/16/2019","05",11816.0
"D","08/16/2019","06",11978.0
"D","08/16/2019","07",13025.0
"D","08/16/2019","08",13705.0
"D","08/16/2019","09",14307.0
"D","08/16/2019","10",14570.0
"D","08/16/2019","11",15115.0
"D","08/16/2019","12",15508.0
"D","08/16/2019","13",15697.0
"D","08/16/2019","14",16205.0
"D","08/16/2019","15",16333.0
"D","08/16/2019","16",16909.0
"D","08/16/2019","17",17094.0
"D","08/16/2019","18",17471.0
