State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), Operating Time, # of Months Reported, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Source Category, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Operating Status, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr)
NY,"Black River Generation, LLC",10464,E0001,CS-1,2019,RGGI,8065.24,12,0,1082868.62,5.783,0.1306,110.502,180431.774,1701032.868,2,NPCC,Jefferson County,Electric Utility,"Black River Generation, LLC","Black River Generation, LLC","CSOSG2 : William H Ralston (606650),CSSO2G1 : William H Ralston (606650),RGGI : William H Ralston (606650),CSNOX : William H Ralston (606650)","CSOSG2 : ,CSSO2G1 : ,RGGI : ,CSNOX : ",,,Operating,Circulating fluidized bed boiler,Wood,"Other Solid Fuel, Petroleum Coke, Tire Derived Fuel",,,Baghouse,,44.0361,-75.7712,288
NY,"Black River Generation, LLC",10464,E0002,CS-1,2019,RGGI,7830.96,12,0,1076925.74,5.828,0.1307,111.088,179923.348,1693866.887,2,NPCC,Jefferson County,Electric Utility,"Black River Generation, LLC","Black River Generation, LLC","RGGI : William H Ralston (606650),CSOSG2 : William H Ralston (606650),CSNOX : William H Ralston (606650),CSSO2G1 : William H Ralston (606650)","RGGI : ,CSOSG2 : ,CSNOX : ,CSSO2G1 : ",,,Operating,Circulating fluidized bed boiler,Wood,"Other Solid Fuel, Petroleum Coke, Tire Derived Fuel",,,Baghouse,,44.0361,-75.7712,288
NY,"Black River Generation, LLC",10464,E0003,CS-1,2019,RGGI,8177.84,12,0,1096144.1,5.494,0.1315,113.288,183367.94,1727523.564,2,NPCC,Jefferson County,Electric Utility,"Black River Generation, LLC","Black River Generation, LLC","CSNOX : William H Ralston (606650),CSSO2G1 : William H Ralston (606650),RGGI : William H Ralston (606650),CSOSG2 : William H Ralston (606650)","CSNOX : ,CSSO2G1 : ,RGGI : ,CSOSG2 : ",,,Operating,Circulating fluidized bed boiler,Wood,"Other Solid Fuel, Petroleum Coke, Tire Derived Fuel",,,Baghouse,,44.0361,-75.7712,288
NY,AG - Energy,10803,1,,2019,RGGI,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Selective Catalytic Reduction,,,44.7258,-75.4417,2734
NY,AG - Energy,10803,2,,2019,RGGI,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Selective Catalytic Reduction,,,44.7258,-75.4417,2734
NY,Astoria Energy,55375,CT1,,2019,RGGI,7855.44,12,1743215.03,,3.712,0.0087,38.561,721401.745,1.21E+07,2,,Queens County,Electric Utility,"Astoria Energy, LLC",NAES Corporation,"RGGI : Charles McCall (603228),CSOSG2 : Charles McCall (603228),CSNOX : Charles McCall (603228),CSSO2G1 : Charles McCall (603228),ARP : Charles McCall (603228)","RGGI : Michael J Stockstad (606598),CSOSG2 : Michael J Stockstad (606598),CSNOX : Michael J Stockstad (606598),CSSO2G1 : Michael J Stockstad (606598),ARP : Michael J Stockstad (606598)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,40.7825,-73.8964,2750
NY,Astoria Energy,55375,CT2,,2019,RGGI,7134.28,12,1572399.89,,3.45,0.0076,33.144,675677.709,1.13E+07,2,,Queens County,Electric Utility,"Astoria Energy, LLC",NAES Corporation,"CSOSG2 : Charles McCall (603228),CSSO2G1 : Charles McCall (603228),ARP : Charles McCall (603228),CSNOX : Charles McCall (603228),RGGI : Charles McCall (603228)","CSOSG2 : Michael J Stockstad (606598),CSSO2G1 : Michael J Stockstad (606598),ARP : Michael J Stockstad (606598),CSNOX : Michael J Stockstad (606598),RGGI : Michael J Stockstad (606598)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,40.7825,-73.8964,2750
NY,Astoria Energy,55375,CT3,,2019,RGGI,6464.95,12,1428442.95,,3.331,0.0141,45.781,646593.157,1.08E+07,2,,Queens County,Electric Utility,"Astoria Energy, LLC",NAES Corporation,"ARP : Charles McCall (603228),CSSO2G1 : Charles McCall (603228),CSOSG2 : Charles McCall (603228),RGGI : Charles McCall (603228),CSNOX : Charles McCall (603228)","ARP : Michael J Stockstad (606598),CSSO2G1 : Michael J Stockstad (606598),CSOSG2 : Michael J Stockstad (606598),RGGI : Michael J Stockstad (606598),CSNOX : Michael J Stockstad (606598)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,40.7825,-73.8964,1503
NY,Astoria Energy,55375,CT4,,2019,RGGI,6672.37,12,1470678.98,,3.387,0.0157,50.439,656704.408,1.10E+07,2,,Queens County,Electric Utility,"Astoria Energy, LLC",NAES Corporation,"CSSO2G1 : Charles McCall (603228),CSOSG2 : Charles McCall (603228),RGGI : Charles McCall (603228),ARP : Charles McCall (603228),CSNOX : Charles McCall (603228)","CSSO2G1 : Michael J Stockstad (606598),CSOSG2 : Michael J Stockstad (606598),RGGI : Michael J Stockstad (606598),ARP : Michael J Stockstad (606598),CSNOX : Michael J Stockstad (606598)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,40.7825,-73.8964,1503
NY,Athens Generating Company,55405,1,,2019,RGGI,3854.4,12,1175512.28,,2.428,0.0102,30.652,480939.256,8092731.939,2,,Greene County,Electric Utility,"MACHGen, LLC, New Athens Generating Company, LLC",North American Energy Services,"CSSO2G1 : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),RGGI : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),ARP : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),CSOSG2 : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),CSNOX : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019)","CSSO2G1 : Hank Tripp (609258),RGGI : Hank Tripp (609258),ARP : Hank Tripp (609258),CSOSG2 : Hank Tripp (609258),CSNOX : Hank Tripp (609258)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,42.2728,-73.8492,3165
NY,Athens Generating Company,55405,2,,2019,RGGI,2042.53,12,594985.43,,1.25,0.0152,19.983,247565.034,4165772.261,2,,Greene County,Electric Utility,"MACHGen, LLC, New Athens Generating Company, LLC",North American Energy Services,"CSNOX : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),RGGI : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),ARP : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),CSOSG2 : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),CSSO2G1 : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019)","CSNOX : Hank Tripp (609258),RGGI : Hank Tripp (609258),ARP : Hank Tripp (609258),CSOSG2 : Hank Tripp (609258),CSSO2G1 : Hank Tripp (609258)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,42.2728,-73.8492,3165
NY,Athens Generating Company,55405,3,,2019,RGGI,3933.51,12,1218293.56,,2.611,0.0119,37.317,517119.512,8701527.559,2,,Greene County,Electric Utility,"MACHGen, LLC, New Athens Generating Company, LLC",North American Energy Services,"RGGI : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),CSOSG2 : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),CSNOX : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),CSSO2G1 : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019),ARP : Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019)","RGGI : Hank Tripp (609258),CSOSG2 : Hank Tripp (609258),CSNOX : Hank Tripp (609258),CSSO2G1 : Hank Tripp (609258),ARP : Hank Tripp (609258)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,42.2728,-73.8492,554
NY,"Beaver Falls, LLC",10617,1,,2019,RGGI,33,12,2166.1,,0.006,0.1838,0.514,1091.111,18357.198,2,,Lewis County,Cogeneration,SBF LLC,SBF LLC,"CSSO2G1 : Dean E Motl (605480) (Ended May 03, 2019)<br>Susan D Flash (603940) (Started May 03, 2019) (Ended Jun 11, 2019)<br>Timothy Biittig (609450) (Started Jun 11, 2019),CSOSG2 : Dean E Motl (605480) (Ended May 03, 2019)<br>Susan D Flash (603940) (Started May 03, 2019) (Ended Jun 11, 2019)<br>Timothy Biittig (609450) (Started Jun 11, 2019),RGGI : Dean E Motl (605480) (Ended May 03, 2019)<br>Susan D Flash (603940) (Started May 03, 2019) (Ended Jun 11, 2019)<br>Timothy Biittig (609450) (Started Jun 11, 2019),CSNOX : Dean E Motl (605480) (Ended May 03, 2019)<br>Susan D Flash (603940) (Started May 03, 2019) (Ended Jun 11, 2019)<br>Timothy Biittig (609450) (Started Jun 11, 2019)","CSSO2G1 : Susan D Flash (603940) (Ended May 03, 2019)<br>Timothy Biittig (609450) (Started May 03, 2019) (Ended Jun 11, 2019)<br>Susan D Flash (603940) (Started Jun 11, 2019),CSOSG2 : Susan D Flash (603940) (Ended May 03, 2019)<br>Timothy Biittig (609450) (Started May 03, 2019) (Ended Jun 11, 2019)<br>Susan D Flash (603940) (Started Jun 11, 2019),RGGI : Susan D Flash (603940) (Ended May 03, 2019)<br>Timothy Biittig (609450) (Started May 03, 2019) (Ended Jun 11, 2019)<br>Susan D Flash (603940) (Started Jun 11, 2019),CSNOX : Susan D Flash (603940) (Ended May 03, 2019)<br>Timothy Biittig (609450) (Started May 03, 2019) (Ended Jun 11, 2019)<br>Susan D Flash (603940) (Started Jun 11, 2019)",,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Selective Catalytic Reduction<br>Steam Injection,,,43.8861,-75.4342,2133
NY,Bethlehem Energy Center (Albany),2539,10001,,2019,RGGI,5755.07,12,882464.97,,2.737,0.0231,39.246,542248.303,9124371.635,2,NPCC,Albany County,Electric Utility,"PSEG Power New York, Inc.","PSEG Power New York, Inc.","CSOSG2 : Michael S Mastriani (609205),ARP : Michael S Mastriani (609205),CSSO2G1 : Michael S Mastriani (609205),RGGI : Michael S Mastriani (609205),CSNOX : Michael S Mastriani (609205)","CSOSG2 : Mark F Strickland (603622),ARP : Mark F Strickland (603622),CSSO2G1 : Mark F Strickland (603622),RGGI : Mark F Strickland (603622),CSNOX : Mark F Strickland (603622)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,42.5905,-73.7636,2133
NY,Bethlehem Energy Center (Albany),2539,10002,,2019,RGGI,5455.54,12,781227.31,,2.598,0.0223,35.819,514574.958,8658709.014,2,NPCC,Albany County,Electric Utility,"PSEG Power New York, Inc.","PSEG Power New York, Inc.","RGGI : Michael S Mastriani (609205),ARP : Michael S Mastriani (609205),CSOSG2 : Michael S Mastriani (609205),CSSO2G1 : Michael S Mastriani (609205),CSNOX : Michael S Mastriani (609205)","RGGI : Mark F Strickland (603622),ARP : Mark F Strickland (603622),CSOSG2 : Mark F Strickland (603622),CSSO2G1 : Mark F Strickland (603622),CSNOX : Mark F Strickland (603622)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,42.5905,-73.7636,2133
