State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), EPA Region, NERC Region, County, County Code, FIPS Code, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr),,,,,,
NY,"Black River Generation, LLC",10464,E0001,CS-1,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Jefferson County,NY045,45,Electric Utility,44.0361,-75.7712,"Black River Generation, LLC","Black River Generation, LLC",William H Ralston (606650),,,,Circulating fluidized bed boiler,Wood,"Other Solid Fuel, Petroleum Coke, Tire Derived Fuel",,,Baghouse,,11/1/1991,Operating,288,,,,,,
NY,"Black River Generation, LLC",10464,E0002,CS-1,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Jefferson County,NY045,45,Electric Utility,44.0361,-75.7712,"Black River Generation, LLC","Black River Generation, LLC",William H Ralston (606650),,,,Circulating fluidized bed boiler,Wood,"Other Solid Fuel, Petroleum Coke, Tire Derived Fuel",,,Baghouse,,11/1/1991,Operating,288,,Unit Type, Fuel Type (Primary),Count, Average Max Hourly HI Rate (MMBtu/hr),Average by Unit Type
NY,"Black River Generation, LLC",10464,E0003,CS-1,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Jefferson County,NY045,45,Electric Utility,44.0361,-75.7712,"Black River Generation, LLC","Black River Generation, LLC",William H Ralston (606650),,,,Circulating fluidized bed boiler,Wood,"Other Solid Fuel, Petroleum Coke, Tire Derived Fuel",,,Baghouse,,11/1/1991,Operating,288,,Circulating fluidized bed boiler,Wood,3,288,288
NY,Valley Energy Center,56940,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Orange County,NY071,71,Electric Utility,41.413,-74.435,CPV Valley LLC,Diamond Generating Corporation,Donald G Atwood (602660),Ben Stanley (603409),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Selective Catalytic Reduction,,,1/25/2018,Operating,2734,,Combined cycle,Pipeline Natural Gas,62,1533.254839,1533.254839
NY,Valley Energy Center,56940,2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Orange County,NY071,71,Electric Utility,41.413,-74.435,CPV Valley LLC,Diamond Generating Corporation,Donald G Atwood (602660),Ben Stanley (603409),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Selective Catalytic Reduction,,,1/24/2018,Operating,2734,,Combustion turbine,Diesel Oil,31,535.9677419,435.8284211
NY,"Empire Generating Co, LLC",56259,CT-1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Rensselaer County,NY083,83,Electric Utility,42.6296,-73.749,"Empire Generating Co, LLC","Empire Generating Co, LLC, NAES Corporation","Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019)","Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019)",Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,5/26/2010,Operating,2750,,Combustion turbine,Pipeline Natural Gas,64,387.3234375,
NY,"Empire Generating Co, LLC",56259,CT-2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Rensselaer County,NY083,83,Electric Utility,42.6296,-73.749,"Empire Generating Co, LLC","Empire Generating Co, LLC, NAES Corporation","Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019)","Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019)",Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,6/3/2010,Operating,2750,,Dry bottom wall-fired boiler,Coal,1,6280,4297.5
NY,Brooklyn Navy Yard Cogeneration,54914,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Kings County,NY047,47,Cogeneration,40.6994,-73.9758,Brooklyn Navy Yard Cogeneration,"BNY Power OPerations, LLC",Mark McDaniels (2321),Carter Carlton (609210),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,3/1/1996,Operating,1503,,Dry bottom wall-fired boiler,Natural Gas,1,440,
NY,Brooklyn Navy Yard Cogeneration,54914,2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Kings County,NY047,47,Cogeneration,40.6994,-73.9758,Brooklyn Navy Yard Cogeneration,"BNY Power OPerations, LLC",Mark McDaniels (2321),Carter Carlton (609210),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,3/1/1996,Operating,1503,,Dry bottom wall-fired boiler,Pipeline Natural Gas,8,3242.125,
NY,East River,2493,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,New York County,NY061,61,Cogeneration,40.7281,-73.9742,"Consolidated Edison of New York, Inc.","Consolidated Edison of New York, Inc.",Andrea Schmitz (607301),Constantine Sanoulis (607630),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Ammonia Injection<br>Selective Catalytic Reduction,,,3/8/2005,Operating,3165,,Dry bottom wall-fired boiler,Residual Oil,2,9456.5,
NY,East River,2493,2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,New York County,NY061,61,Cogeneration,40.7281,-73.9742,"Consolidated Edison of New York, Inc.","Consolidated Edison of New York, Inc.",Andrea Schmitz (607301),Constantine Sanoulis (607630),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Ammonia Injection<br>Selective Catalytic Reduction,,,3/13/2005,Operating,3165,,Tangentially-fired,Coal,6,1746.166667,3482.256667
NY,S A Carlson,2682,20,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Chautauqua County,NY013,13,Electric Utility,42.0917,-79.2417,Jamestown Board of Public Utilities,Jamestown Board of Public Utilities,David L Leathers (603616),Cory Allen (608789),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Water Injection,,,11/3/2001,Operating,554,,Tangentially-fired,Pipeline Natural Gas,20,3595.085,
NY,Independence,54547,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Oswego County,NY075,75,Cogeneration,43.495,-76.4508,"Sithe/Independence Power Partners, LP","Sithe Energies Power Services, Inc.",Eric H Pahl (608838),Cynthia Vodopivec (603383),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,10/1/1994,Operating,2133,,Tangentially-fired,Residual Oil,4,5522.25,
