State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), EPA Region, NERC Region, County, County Code, FIPS Code, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr)
"NJ","B L England","2378","1",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076) (Started Jul 07, 2009)",,"Table 1",,"Cyclone boiler","Coal","Residual Oil",,"Selective Non-catalytic Reduction<br>Overfire Air","Electrostatic Precipitator",,"10/22/1962","Operating","1300.0",
"NJ","B L England","2378","1",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076)",,"Table 1",,"Cyclone boiler","Coal","Residual Oil",,"Selective Non-catalytic Reduction<br>Overfire Air","Electrostatic Precipitator",,"10/22/1962","Operating","1300.0",
"NJ","B L England","2378","1",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076)","James Maiz (605876) (Started Jan 04, 2011)","Table 1",,"Cyclone boiler","Coal","Residual Oil",,"Selective Non-catalytic Reduction<br>Overfire Air","Electrostatic Precipitator",,"10/22/1962","Operating","1300.0",
"NJ","B L England","2378","2",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076) (Started Jul 07, 2009)",,"Table 1","Phase 2 Group 2","Cyclone boiler","Coal","Residual Oil","Wet Limestone","Selective Non-catalytic Reduction<br>Overfire Air","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","11/24/1964","Operating","1600.0",
"NJ","B L England","2378","2",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076)",,"Table 1","Phase 2 Group 2","Cyclone boiler","Coal","Residual Oil","Wet Limestone","Selective Non-catalytic Reduction<br>Overfire Air","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","11/24/1964","Operating","1600.0",
"NJ","B L England","2378","2",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076)","James Maiz (605876) (Started Jan 04, 2011)","Table 1","Phase 2 Group 2","Cyclone boiler","Coal","Residual Oil","Wet Limestone","Selective Non-catalytic Reduction<br>Overfire Air","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","11/24/1964","Operating","1600.0",
"NJ","B L England","2378","3",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076) (Started Jul 07, 2009)",,"Phase 2",,"Dry bottom wall-fired boiler","Residual Oil",,,"Selective Non-catalytic Reduction","Cyclone",,"12/31/1974","Operating","1720.0",
"NJ","B L England","2378","3",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076)",,"Phase 2",,"Dry bottom wall-fired boiler","Residual Oil",,,"Selective Non-catalytic Reduction","Cyclone",,"12/31/1974","Operating","1720.0",
"NJ","B L England","2378","3",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Cape May County","NJ009","009","Electric Utility","39.29","-74.6339","R.C. Cape May Holdings, LLC","North American Energy Services, R.C. Cape May Holdings, LLC","W Scott Harlan (602076)","James Maiz (605876) (Started Jan 04, 2011)","Phase 2",,"Dry bottom wall-fired boiler","Residual Oil",,,"Selective Non-catalytic Reduction","Cyclone",,"12/31/1974","Operating","1720.0",
"NJ","Bayonne Energy Center","56964","GT1",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"01/23/2012","Operating","603.0",
