Date,Hour,A2FCC,A2FST,GHIST,JCC,JCT,JST,KCT,KST
01/01/2019,0,208,0,0,1270,0,101,82,237
01/01/2019,1,116,0,0,1156,0,99,38,246
01/01/2019,2,115,0,0,1109,0,99,31,246
01/01/2019,3,117,0,0,1073,0,98,31,245
01/01/2019,4,116,0,0,1020,0,98,31,246
01/01/2019,5,147,0,0,1057,0,99,31,260
01/01/2019,6,376,0,0,1098,0,99,32,253
01/01/2019,7,520,0,0,1189,0,98,32,235
01/01/2019,8,525,0,0,1316,0,99,36,217
01/01/2019,9,601,0,0,1413,0,99,36,217
01/01/2019,10,702,0,0,1504,0,98,36,202
01/01/2019,11,714,0,0,1589,0,98,36,210
01/01/2019,12,711,0,0,1596,0,98,36,215
01/01/2019,13,652,0,0,1697,0,98,36,210
01/01/2019,14,631,0,0,1753,0,99,36,212
01/01/2019,15,705,0,0,1760,0,98,36,226
01/01/2019,16,818,0,0,1812,0,99,75,253
01/01/2019,17,1094,0,0,1930,0,99,78,340
01/01/2019,18,1249,0,0,2114,0,99,36,379
01/01/2019,19,1192,0,0,1953,0,98,36,359
01/01/2019,20,1210,0,0,1925,0,99,36,322
01/01/2019,21,1003,0,0,1915,0,99,35,267
01/01/2019,22,480,0,0,1773,0,99,35,248
01/01/2019,23,282,0,0,1620,0,98,35,206
01/02/2019,0,248,0,0,1573,0,99,34,224
01/02/2019,1,250,0,0,1577,0,98,34,223
01/02/2019,2,233,0,0,1579,0,98,31,223
01/02/2019,3,318,0,0,1599,0,99,31,224
01/02/2019,4,406,0,0,1674,0,99,31,224
01/02/2019,5,750,0,0,1770,0,99,32,224
01/02/2019,6,1351,0,0,1960,0,98,36,226
01/02/2019,7,1866,0,0,2192,0,99,37,286
01/02/2019,8,1987,0,0,2396,0,98,38,287
01/02/2019,9,1938,0,0,2155,0,96,38,287
01/02/2019,10,1966,0,0,1904,0,96,39,247
01/02/2019,11,1614,0,0,1822,0,96,74,241
01/02/2019,12,1659,0,0,1809,40,96,96,240
01/02/2019,13,1823,0,0,1852,0,96,96,241
01/02/2019,14,1994,0,0,2178,40,96,96,243
01/02/2019,15,1985,0,0,2447,0,96,96,247
01/02/2019,16,2255,0,0,2461,32,97,132,314
01/02/2019,17,2300,0,0,2594,172,101,182,478
01/02/2019,18,2322,0,0,2429,152,99,183,504
01/02/2019,19,2323,0,0,2333,3,97,166,408
01/02/2019,20,2017,0,0,2223,20,97,94,281
01/02/2019,21,1775,0,0,1924,0,97,91,233
01/02/2019,22,1045,0,0,2087,0,96,36,229
01/02/2019,23,617,0,0,1875,0,97,36,216
01/03/2019,0,258,0,0,1901,0,96,34,200
01/03/2019,1,186,0,0,1856,0,96,35,205
01/03/2019,2,186,0,0,1829,0,97,35,204
01/03/2019,3,252,0,0,1727,0,97,35,205
01/03/2019,4,617,0,0,1648,0,97,35,208
01/03/2019,5,1145,0,0,1651,0,97,35,245
01/03/2019,6,1399,0,0,1874,0,96,36,280
01/03/2019,7,1780,0,0,2030,0,96,37,319
01/03/2019,8,1989,0,0,2131,0,96,38,318
01/03/2019,9,2106,0,0,2178,0,97,38,298
01/03/2019,10,2099,0,0,1976,0,97,39,298
01/03/2019,11,2030,0,0,1912,0,97,39,280
01/03/2019,12,1889,0,0,1916,0,97,39,288
01/03/2019,13,1810,0,0,1907,0,97,39,290
01/03/2019,14,1794,0,0,1914,0,97,74,321
01/03/2019,15,1779,0,0,1916,0,97,95,346
01/03/2019,16,2021,0,0,2289,0,97,130,488
01/03/2019,17,1981,0,0,2485,0,97,269,562
01/03/2019,18,2015,0,0,2563,0,103,230,562
01/03/2019,19,1985,0,0,2374,0,98,222,562
01/03/2019,20,1864,0,0,2313,0,98,98,550
01/03/2019,21,1618,0,0,2124,0,98,91,438
01/03/2019,22,1265,0,0,1888,0,98,35,347
01/03/2019,23,796,0,0,1577,0,98,35,268
01/04/2019,0,603,0,0,1402,0,97,35,187
01/04/2019,1,528,0,0,1419,0,97,34,108
01/04/2019,2,451,0,0,1422,0,97,32,108
01/04/2019,3,464,0,0,1474,0,97,32,108
01/04/2019,4,476,0,0,1507,0,97,32,117
01/04/2019,5,824,0,0,1598,0,97,36,119
01/04/2019,6,1214,0,0,1937,0,97,38,155
01/04/2019,7,1442,0,0,2021,0,125,39,191
01/04/2019,8,1621,0,0,2187,0,170,40,190
01/04/2019,9,1684,0,0,1984,0,184,77,190
01/04/2019,10,1672,0,0,1899,0,181,96,154
01/04/2019,11,1544,0,0,2047,0,181,96,133
01/04/2019,12,1272,0,0,2042,0,181,97,178
01/04/2019,13,1281,0,0,2047,0,181,96,180
01/04/2019,14,1424,0,0,2070,0,181,96,180
01/04/2019,15,1784,0,0,2120,0,179,97,179
01/04/2019,16,1888,0,0,2286,0,180,113,190
01/04/2019,17,1863,0,0,2546,0,236,160,190
01/04/2019,18,1794,0,0,2319,25,253,141,190
01/04/2019,19,1604,0,0,2203,37,252,140,191
01/04/2019,20,1875,0,0,1951,0,190,95,191
01/04/2019,21,1591,0,0,1687,0,185,92,191
01/04/2019,22,1354,0,0,1695,0,185,37,162
01/04/2019,23,801,0,0,1431,0,185,36,130
01/05/2019,0,547,0,0,1305,0,185,34,127
01/05/2019,1,459,0,0,1352,0,184,34,127
01/05/2019,2,468,0,0,1290,0,185,31,127
01/05/2019,3,474,0,0,1248,0,183,31,128
01/05/2019,4,497,0,0,1292,0,182,31,128
01/05/2019,5,553,0,0,1267,0,181,31,128
01/05/2019,6,762,0,0,1495,0,181,36,128
01/05/2019,7,905,0,0,1587,0,181,37,128
01/05/2019,8,1339,0,0,1676,0,195,37,129
01/05/2019,9,1435,0,0,1849,0,198,73,149
01/05/2019,10,1407,0,0,1862,0,199,92,136
01/05/2019,11,1379,0,0,1901,0,182,92,162
01/05/2019,12,1403,0,0,2059,0,182,93,188
01/05/2019,13,1384,0,0,1864,0,182,94,190
01/05/2019,14,1381,0,0,1829,0,183,94,190
01/05/2019,15,1335,0,0,1746,0,216,94,191
01/05/2019,16,1520,0,0,1675,0,282,148,192
01/05/2019,17,1308,0,0,1717,0,396,221,192
01/05/2019,18,1609,0,0,1778,0,403,167,192
01/05/2019,19,1176,0,0,1947,0,471,94,192
01/05/2019,20,1133,0,0,1775,0,446,93,181
01/05/2019,21,845,0,0,1781,0,277,91,145
01/05/2019,22,709,0,0,1709,0,185,36,128
01/05/2019,23,414,0,0,1504,0,180,36,128
01/06/2019,0,157,0,0,1221,0,180,34,107
01/06/2019,1,118,0,0,1132,0,180,31,106
01/06/2019,2,118,0,0,1152,0,180,31,97
01/06/2019,3,125,0,0,1088,0,180,31,97
01/06/2019,4,182,0,0,1081,0,180,31,97
01/06/2019,5,392,0,0,1148,0,181,31,96
01/06/2019,6,462,0,0,1177,0,180,32,97
01/06/2019,7,362,0,0,1416,0,180,32,97
01/06/2019,8,395,0,0,1779,0,184,32,99
01/06/2019,9,458,0,0,1899,0,110,37,107
01/06/2019,10,443,0,0,2060,0,96,37,114
01/06/2019,11,669,0,0,1963,0,96,79,109
01/06/2019,12,744,0,0,1715,0,96,66,90
01/06/2019,13,745,0,0,1554,0,96,37,98
01/06/2019,14,526,0,0,1577,0,96,78,95
01/06/2019,15,505,0,0,1640,0,96,94,107
01/06/2019,16,734,0,0,1934,0,96,106,139
01/06/2019,17,874,0,0,2275,0,96,140,183
01/06/2019,18,1037,0,0,2383,0,96,96,190
01/06/2019,19,938,0,0,2302,0,96,96,161
01/06/2019,20,1054,0,0,2216,0,96,95,133
01/06/2019,21,1008,0,0,2325,0,102,93,128
01/06/2019,22,984,0,0,1971,0,96,37,127
01/06/2019,23,782,0,0,1746,0,97,37,128
01/07/2019,0,610,0,0,1680,0,97,37,128
01/07/2019,1,576,0,0,1657,0,97,37,139
01/07/2019,2,509,0,0,1574,0,97,33,145
01/07/2019,3,568,0,0,1608,0,97,32,149
01/07/2019,4,847,0,0,1698,0,97,32,149
01/07/2019,5,1437,0,0,1807,0,97,34,156
01/07/2019,6,2128,0,0,2231,0,97,69,197
01/07/2019,7,2336,0,0,2220,0,97,95,201
01/07/2019,8,2271,0,0,2298,0,97,96,232
01/07/2019,9,2260,0,0,2100,0,146,96,323
01/07/2019,10,2207,0,0,2108,0,189,95,301
01/07/2019,11,2165,0,0,2188,0,182,37,300
01/07/2019,12,1903,0,0,2148,0,181,79,284
01/07/2019,13,2214,0,0,2155,0,181,96,280
01/07/2019,14,2325,1,0,2221,0,181,96,267
01/07/2019,15,2044,0,0,2395,0,194,118,301
01/07/2019,16,2125,0,0,2375,0,219,142,412
01/07/2019,17,2272,1,0,2400,0,282,177,533
01/07/2019,18,2464,0,0,2416,0,264,186,545
01/07/2019,19,2377,0,0,2374,0,220,200,508
01/07/2019,20,2268,1,0,2289,0,221,152,502
01/07/2019,21,1819,0,0,2119,0,187,138,385
01/07/2019,22,1278,0,0,2016,0,178,35,271
01/07/2019,23,830,0,0,1841,0,176,35,239
01/08/2019,0,648,0,0,1758,0,175,35,121
01/08/2019,1,561,1,0,1616,0,174,32,51
01/08/2019,2,554,1,0,1563,0,174,32,45
01/08/2019,3,572,25,0,1606,0,176,32,45
01/08/2019,4,781,34,0,1564,0,177,32,46
01/08/2019,5,1066,70,0,1528,0,178,35,104
01/08/2019,6,1545,150,0,1614,0,177,36,149
01/08/2019,7,1985,174,0,2148,0,176,36,159
01/08/2019,8,2033,173,0,2379,0,125,36,179
01/08/2019,9,2148,173,0,2291,0,96,36,179
01/08/2019,10,2258,173,0,1945,0,95,37,186
01/08/2019,11,2209,173,0,2117,0,96,37,190
01/08/2019,12,2207,173,0,2286,0,96,37,190
01/08/2019,13,2144,173,0,2209,0,97,75,177
01/08/2019,14,2143,173,0,2191,0,97,94,182
01/08/2019,15,2081,173,0,2295,0,97,97,159
01/08/2019,16,2137,173,0,2158,0,98,157,189
01/08/2019,17,2180,176,0,2332,0,112,267,190
01/08/2019,18,2245,175,0,2301,0,100,219,191
01/08/2019,19,2195,173,0,2248,0,100,142,190
01/08/2019,20,2016,173,0,2090,0,98,100,190
01/08/2019,21,1431,173,0,1956,0,98,96,190
01/08/2019,22,1044,173,0,1757,0,98,40,170
01/08/2019,23,817,173,0,1644,0,98,35,133
01/09/2019,0,628,173,0,1526,0,97,31,127
01/09/2019,1,574,174,0,1595,0,97,31,107
01/09/2019,2,546,173,0,1617,0,97,31,106
01/09/2019,3,598,173,0,1613,0,97,31,106
01/09/2019,4,877,173,0,1582,0,97,31,107
01/09/2019,5,1358,173,0,1551,0,97,32,118
01/09/2019,6,2066,173,0,1801,0,98,42,131
01/09/2019,7,2253,222,0,2184,0,167,84,181
01/09/2019,8,2326,178,0,1976,0,185,50,189
01/09/2019,9,2240,173,0,1938,0,185,43,170
01/09/2019,10,2205,173,0,1857,0,184,43,135
01/09/2019,11,2216,173,0,1844,0,185,43,132
01/09/2019,12,2017,173,0,1867,0,184,43,127
01/09/2019,13,2272,173,0,1865,0,184,82,124
01/09/2019,14,2157,173,0,1862,0,185,100,130
01/09/2019,15,2214,173,0,1953,0,185,104,147
01/09/2019,16,2139,175,0,2175,0,190,165,190
01/09/2019,17,2221,282,0,2336,0,249,239,190
01/09/2019,18,2365,335,0,2343,40,265,270,189
01/09/2019,19,2427,252,0,2168,40,224,185,190
01/09/2019,20,2448,191,0,2022,0,183,100,190
01/09/2019,21,1851,175,0,1892,0,182,97,170
01/09/2019,22,1363,174,0,1578,0,182,36,133
01/09/2019,23,852,174,0,1262,0,182,35,107
01/10/2019,0,678,173,0,1217,0,181,32,107
01/10/2019,1,628,173,0,1323,0,181,32,87
01/10/2019,2,599,168,0,1196,0,181,32,86
01/10/2019,3,601,174,0,1108,0,181,32,86
01/10/2019,4,783,173,0,1172,0,181,32,87
01/10/2019,5,1077,178,0,1379,0,181,32,113
01/10/2019,6,1450,174,0,2077,0,182,36,189
